Case title,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Order,Publication Date,CTA Partner,CTA Partner Image,CTA Partner Name,CTA Partner Position,CTA Free Download,CTA Free Download - Image,CTA Free Download Description,Signature case,Confidential case,Meta Description,Case image,Client Name,Client logo,Hide client name,Markets,Services,Sectors,Related sectors,What they wanted,Hide what they wanted,What we did,Hide what we did,What we achieved,Hide what we achieved,Want to know more,Client quote,Client quote - Person name,Client quote - Person position,Hide client quote,Related cases,Related Blog Posts,Related Digital Know-How,Related Industry Focus,Short case,Short case slider images
Data-driven store development,heineken-data-driven,64c8db55b3337948371453e0,64c8db4525075f4f57f95399,64e27cb7242e4af9b6405c31,false,false,Sun Aug 20 2023 20:51:03 GMT+0000 (Coordinated Universal Time),Tue Mar 05 2024 14:39:06 GMT+0000 (Coordinated Universal Time),Tue Jan 14 2025 16:00:18 GMT+0000 (Coordinated Universal Time),47,,false,,,,false,,,false,false,,https://uploads-ssl.webflow.com/64c8db4525075f4f57f9539a/64e7d67745ae53e71ccf688b_Heineken_Paul_Berends_S11_200xp-Retouche-For-Print-scaled.jpg,Heineken,https://uploads-ssl.webflow.com/64c8db4525075f4f57f9539a/64e4df05ec6092dd4f55195b_Heineken_International_logo.svg.png,true,,ai-and-data,,Consumer Goods,"<p id="""">HEINEKEN asked SparkOptimus to help them better leverage shop data in emerging markets, in order to make better, data-driven decisions on investments in shops and in parallel learn to become more data-driven.</p>",false,"<p id="""">After collecting and cleaning the data, we built an AI model that predicted whether a shop would be a suitable candidate for HEINEKEN investments. This model considers 20 different indicators for each store and combines that information with other historic data points to predict the profit of the new store investment.</p>",false,"<p id="""">In just 2 weeks we created an operational AI model that predicted the profitability of a new store investment with 85% accuracy. Given the limited size of the data set, the accuracy of the model will further increase as more data becomes available. The current model already gives HEINEKEN a significant advantage in making data driven investment decisions.</p><p>‍</p><p id=""""><strong id="""">Want to find out how your business can benefit from our 1-week data scan? </strong><a id="""" href=""https://www.sparkoptimus.com/contact""><strong id="""">Click here to get in touch with us. </strong></a></p><p>‍</p>",false,,"In a short time, SparkOptimus created significant value for our investment team by their unique combination of in-depth data expertise with a strong business sense. They rapidly built a predictive model for a complex dataset, and translated the results into actionable insights that helped us make better decisions and become more data-driven.",Jurriaan van ‘t Hoff,Director Global B2X eCommerce HEINEKEN International,false,,,,,false,
Brewing innovation: Heineken Mexico enhances operations with Gen AI,heineken-mexico-enhances-operations-genai,64c8db55b3337948371453e0,64c8db4525075f4f57f95399,670e300bb69da69c9e247832,false,false,Tue Oct 15 2024 09:04:11 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 13:45:07 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 13:45:07 GMT+0000 (Coordinated Universal Time),1,Tue Oct 15 2024 00:00:00 GMT+0000 (Coordinated Universal Time),true,https://cdn.prod.website-files.com/64c8db4525075f4f57f9539a/670e3179caa948a69cb1ed4b_Matti-no-nackground-new.png,Matti van Engelen,Associate partner | Practice Lead Data & AI,true,https://cdn.prod.website-files.com/64c8db4525075f4f57f9539a/670e5ce66dbc9e38cd599511_Heineken-mexico-case-study-thumbnail.png,Download this free Case Study with Exclusive Insights straight to your inbox.,false,false,,https://cdn.prod.website-files.com/64c8db4525075f4f57f9539a/670e2f1d155fa797d081b67f_Heineken-mexico-GenAI-case-study.jpg,Heineken Mexico,https://cdn.prod.website-files.com/64c8db4525075f4f57f9539a/680b8ddf1905d805e72a3f7b_245038.svg,false,consumer-goods,ai-and-data,consumer-goods,Consumer Goods,"<p id="""">Heineken Mexico, part of the world’s most international brewer with over 80,000 employees and more than 35 billion in global revenues, was looking to harness the potential of Generative AI (Gen AI) to drive efficiencies and improve customer satisfaction. They wanted to explore AI use cases across their operations and kickstart AI initiatives in key areas like sales and customer service.</p>",false,"<p id="""">We conducted a one-week value scan, identifying over 50 potential Gen AI use cases across Heineken Mexico’s business. From this, we jointly launched two pilots focused on Sales and Customer Service, and developed a long-term vision and roadmap for Generative AI in these key areas. We also supported the implementation and adoption of off-the-shelf Gen AI tools, specifically enhancing performance in Trade Marketing. To ensure long-term success, we designed and built a structured innovation approach, including the hiring of the first data scientist and data engineering roles, and established a cross-functional ideate/test/scale process to continue generating value from Gen AI across the organization.</p>",false,"<p id="""">Through our collaboration, Heineken Mexico saw a 10% reduction in customer service time spend, which, combined with a 2-point increase in NPS, highlighted the clear business impact Gen AI can have in the short term. By integrating Gen AI solutions in place of third-party technologies, we also unlocked considerable cost savings. In trade marketing, AI-driven tools boosted efficiency by up to 50%, showcasing the transformative power even off-the-shelf tool can have. With the groundwork now laid, Heineken Mexico is fully equipped to continue its AI journey, supported by newly established teams and governance designed to foster continuous innovation, from ideation to scaling.</p>",false,,,,,true,data-scan-zijerveld; scaling-generative-ai-for-chocolate-sales-transformation; budget-thuis; heineken-b2b-rtm,thirsty-for-digital-disruption; sparkoptimus-bcorp; sparkoptimus-7th-emerce100-win,10-must-have-criteria-for-digital-transformation-success; 10-proven-generative-ai-use-cases-cpg; generative-ai-use-cases; implementing-generative-ai,,false,
Transformation to a data-driven commercial organization,heineken-south-africa-hsa,64c8db55b3337948371453e0,64c8db4525075f4f57f95399,64e27d684cc90679fbcabd8e,false,false,Sun Aug 20 2023 20:54:00 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 14:45:14 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 15:01:43 GMT+0000 (Coordinated Universal Time),53,,false,,,,false,,,false,false,,https://cdn.prod.website-files.com/64c8db4525075f4f57f9539a/6908bff2b1349e3bcece36ce_OIP%20(1).webp,Heineken South Africa,https://cdn.prod.website-files.com/64c8db4525075f4f57f9539a/64e4df05ec6092dd4f55195b_Heineken_International_logo.svg.png,false,,digital-strategy-transformation,,Consumer Goods,"<p id="""">HEINEKEN South Africa (HSA) is a young, fast-growing company that sees data as catalyst to its growth ambitions. It has connected the key data sources in its ecosystem to deepen understanding of tavern and consumer behaviour. The next step was to organize commercial operations accordingly. HSA asked us to facilitate this transformation of sales and marketing into a data-driven growth engine.</p>",false,"<p id="""">In a six-month journey, SparkOptimus blended in into the HSA teams to design, test, and scale a business operating model, a technological solution, and a capability building program. Over time our role changed from ‘fire starter’ towards ‘coach’ to a HEINEKEN team that is now independently leading the change.</p>",false,"<p id="""">Sales reps across the country now use data insights to improve their conversations with outlet owners and be better business partners, supported by sales leadership that is coaching and inquisitive. Marketing spending and campaigning have become informed by data and the marketing team is expanding the role of digital channels. Both have resulted in increased market share in targeted outlets and more efficient marketing and sales efforts. Organization-wide, HEINEKEN South Africa has made the first big steps to a wider company transformation of working insights-led, cross-functional, and explorative.</p><p>‍</p><p id=""""><strong id="""">Want to find out how your business can benefit from our 1-week digital transformation scan? </strong><a href=""https://www.sparkoptimus.com/contact""><strong id="""">Click here to get in touch with us. </strong></a></p>",false,,"SparkOptimus’s team combines IQ with EQ, is both challenging and engaging. This combination is unique and allows for lasting impact.",Gerrit van Loo,Managing Director HEINEKEN South Africa,false,,,,,false,
Running & growing ecommerce business,hema,64c8db55b3337948371453e0,64c8db4525075f4f57f95399,64e28242e41da63fe45655a2,false,false,Sun Aug 20 2023 21:14:42 GMT+0000 (Coordinated Universal Time),Tue Mar 05 2024 14:39:09 GMT+0000 (Coordinated Universal Time),Tue Jan 14 2025 16:00:18 GMT+0000 (Coordinated Universal Time),21,,false,,,,false,,,false,false,,https://uploads-ssl.webflow.com/64c8db4525075f4f57f9539a/64e7d84b640f01b281ce85ab_HEMA-winkel-ingang-800x531-1.jpg,Hema,https://uploads-ssl.webflow.com/64c8db4525075f4f57f9539a/64e7d84d45ae53e71cd17413_HEMA-800x500.png,true,,digital-strategy-transformation,,Retail,"<p id="""">HEMA is a value for money retailer known as one of the strongest brand in the Netherlands. Over the years, it expanded to over 700 stores in 7 countries. HEMA has a clear ambition to continue to grow both online and offline. To achieve this growth in omnichannel sales HEMA asked SparkOptimus to help develop a comprehensive 3-year plan, which met the ambitions set for the future. Subsequently, they asked SparkOptimus to implement this plan.</p>",false,"<p id="""">SparkOptimus developed a detailed 3-year plan, supported by a solid business case and investment plan, focused on strengthening the e-commerce organization, enhancing the omnichannel customer journey, implementing effective and scalable delivery &amp; fulfillment, and developing true omnichannel marketing. To implement this plan, we set up a joint project management organization. SparkOptimus provided knowledge, support and hands-on business management on multiple topics like delivery &amp; fulfillment, e-category management, international strategy, omnichannel marketing, and data-driven business.</p>",false,"<p id="""">Our strategic plan convinced the board to truly invest in e-commerce and omnichannel growth and freed up funds to invest in all key areas like team, fulfillment, marketing and IT. SparkOptimus subsequently helped transform HEMA e-commerce from a separate business unit into a professional integrated e-commerce organization, resulting in a strong &gt;30% YoY growth and turning the e-commerce business into a substantial bottom-line contributor.</p><p>‍</p><p id=""""><strong id="""">Want to find out how your business can benefit from our 1-week data scan? </strong><a href=""https://www.sparkoptimus.com/contact""><strong id="""">Click here to get in touch with us. </strong></a></p>",false,,"SparkOptimus supported us in building our e-commerce operations and grow significantly over the past year, through their guidance, hands-on support and in-depth knowledge",Tico Schneider,Head of e-commerce HEMA,false,,,,,false,
Henkel Adhesive Technologies enhances customer experience through digital transformation,henkel-adhesives-digital-transformation,64c8db55b3337948371453e0,64c8db4525075f4f57f95399,64e279882ce775e7e3c84090,false,false,Sun Aug 20 2023 20:37:28 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 14:27:56 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 15:01:43 GMT+0000 (Coordinated Universal Time),8,,false,,,,true,https://cdn.prod.website-files.com/64c8db4525075f4f57f9539a/65b7aae59d9ed80544e49637_Henkel%20adhesives%20(1).png,Download this free Case Study with Exclusive Insights straight to your inbox,false,false,,https://cdn.prod.website-files.com/64c8db4525075f4f57f9539a/6908bbe765050e5d59172f8a_laboratory-4-zu-3.jpg,Henkel Adhesive Technologies,https://cdn.prod.website-files.com/64c8db4525075f4f57f9539a/64e7e552f5e285aef86a7396_Logo_Henkel.jpg,false,retail; consumer-goods,digital-strategy-transformation,industrials,Industrial goods & services,"<p id="""">Henkel Adhesive Technologies is the global leading solution provider for adhesives, sealants, and functional coatings worldwide, with annual revenues of €10 billion. Recognizing that digital developments could enable them to better serve their customers along the entire customer journey, Henkel asked SparkOptimus to accelerate the digital transformation of their global sales and marketing functions.</p>",false,"<p id="""">The new strategy involved creating pilot projects to test and learn how to best serve different client types while simultaneously strengthening the foundation by building new structures and improving current ones.</p><p id="""">By analyzing the current customer journeys of key accounts, small and medium-sized business (SMB) clients, and professionals, we first set the vision and aspiration for the transformation. (Curious to know how we did it? <a href=""http://bit.ly/3L9b9Na"" target=""_blank"">See free download below</a>)</p><p id="""">Then, in order to identify areas for development across the dimensions' organizational, procedural, and technological requirements, we analyzed organizational capabilities, technology, and data.</p><p id="""">We launched strategic pilots across five international markets to jump-start the implementation. For these, we designed, onboarded, and coached cross-functional teams to quickly and flexibly demonstrate the new business value based on customer feedback, while defining requirements for scaling on organization, tech, and data.</p><p id="""">Finally, we defined the scale-up plan, and determined the required funding and time investment.</p>",false,"<p id="""">SparkOptimus developed a digital transformation strategy to enhance 1-1 relationships with key accounts, SMB’s and professionals at scale, through 1) optimizing the current digital way-of-working, 2) experimenting with new digital initiatives in pilots to better serve customers, and 3) scaling up existing and new initiatives, once their value had been proven.</p><p id="""">In parallel, we blueprinted and accelerated the digital foundation across organization (capabilities, processes, KPI’s) and technology (tools, data) to enable the pilots and support the scale-ups.</p><figure id="""" class=""w-richtext-figure-type-image w-richtext-align-center"" data-rt-type=""image"" data-rt-align=""center""><div id=""""><img id="""" alt="""" src=""https://uploads-ssl.webflow.com/64c8db4525075f4f57f9539a/64e2796eb99fd0a3bc825acd_BOC-logo-1.jpeg"" width=""auto"" height=""auto"" loading=""auto""></div></figure><p id="""">With this case study we were awarded the title ""Best of Consulting"" in the Strategy category by the renowned business magazine <a id="""" href=""https://award.wiwo.de/boc/"" target=""_blank"">WirtschaftsWoche</a>. Want to know how we impressed the judges? Download this selection of slides of the case study we presented to them showcasing how we helped Henkel accelerate their digital transformation.</p><p>‍</p><p id=""""><strong id="""">Want to find out how your business can benefit from our 1-week digital transformation scan? </strong><a href=""https://www.sparkoptimus.com/contact""><strong id="""">Click here to get in touch with us. </strong></a></p>",false,,"SparkOptimus’ obsession to focus on how to transform the Experience of our Customer & Partners has been instrumental to define our change agenda, to build new capabilities and to transform our organization.",Frederic Chupin,"SrVP, Customer Experience, e-Commerce & Digital Marketing Transformation",false,,,,,false,
D2C ecommerce growth & acceleration plan,henkel-beauty-care,64c8db55b3337948371453e0,64c8db4525075f4f57f95399,64e27be1721ca6245d038903,false,false,Sun Aug 20 2023 20:47:29 GMT+0000 (Coordinated Universal Time),Tue Mar 05 2024 14:39:08 GMT+0000 (Coordinated Universal Time),Tue Jan 14 2025 16:00:18 GMT+0000 (Coordinated Universal Time),41,,false,,,,false,,,true,false,,https://uploads-ssl.webflow.com/64c8db4525075f4f57f9539a/64e4e00c3cc1ba9d2bf1360d_259638-P4JTKC-128-1-scaled-e1591618779424-1600x900.jpg,Henkel Beauty Care,https://uploads-ssl.webflow.com/64c8db4525075f4f57f9539a/64e4e006e9ffafed122ed78a_henkel-logo-png.png,false,,ventures-scale-ups,,Consumer Goods,"<p id="""">Henkel Beauty Care is active in the branded consumer goods and professional hair salon business with their products being available in 150 countries worldwide. Driven by their recent acquisition of a D2C scale-up active in hair coloration, HBC asked SparkOptimus to accelerate this venture towards sustainable growth and identify further growth opportunities to reach their D2C ambition.</p>",false,"<p id="""">Working closely with the founding team, we performed a thorough scan of the scale-up along the areas of consumers, organization, and technology to define its value drivers. Combining this with HBC’s market- and category expertise and the scale-up’s entrepreneurial vision, we defined strategic focus areas for the short- and long-term. For all areas, we detailed strategic- and organizational requirements and developed a business case towards sustainable growth. On top, we defined longer-term growth initiatives further away from the core.</p>",false,"<p id="""">We provided transparency to Henkel’s management on the crucial levers that drive the success of the acquired venture. Based on this, we developed a concrete and tangible plan to accelerate the venture in a sustainable way that was fully aligned with Henkel’s own strategy and supported by the venture’s founder. Beyond that, we identified further D2C growth spaces that aligned with Henkel’s strength.</p><p>‍</p><p id=""""><strong id="""">Want to find out how your venture can benefit from our expertise? </strong><a href=""https://www.sparkoptimus.com/contact""><strong id="""">Click here to get in touch with us. </strong></a></p>",false,,SparkOptimus helped us to understand the key value drivers of a D2C subscription business. Their deep expertise in online business building let them talk on eye level with our digital venture team. We very much appreciated their flexibility in how we worked together and how they blended in with our organization to collaboratively find answers!,Klaus Keutmann,Financial Director Henkel Beauty Care,false,,,,,false,
Developing a value-driven IT strategy,heras-developing-a-value-driven-it-strategy,64c8db55b3337948371453e0,64c8db4525075f4f57f95399,686f898cb75b2dbca8a1d86c,false,false,Thu Jul 10 2025 09:36:12 GMT+0000 (Coordinated Universal Time),Mon Oct 27 2025 14:07:55 GMT+0000 (Coordinated Universal Time),Mon Oct 27 2025 14:48:59 GMT+0000 (Coordinated Universal Time),,,false,,,,false,,,false,false,,https://cdn.prod.website-files.com/64c8db4525075f4f57f9539a/68ff7cb6e0e0088134188ce7_18826.jpg,HERAS,https://cdn.prod.website-files.com/64c8db4525075f4f57f9539a/686fa813323da54dcea3c6a7_Logo-Heras-FC-CMYK-2048x458.jpg,false,industrial-goods,ai-and-data; digital-strategy-transformation,,,"<p id="""">Heras, a leading supplier of perimeter protection solutions active in over 24 countries with more than 1,100 employees, faced challenges with a complex IT landscape and limited system integrations. This led to significant manual work and hindered data-driven decision making. To support their business growth and strategic objectives, Heras wanted to:</p><ul id=""""><li id="""">Establish a <strong id="""">value-driven IT strategy</strong> that directly contributed to their strategic business goals.</li><li id="""">Identify <strong id="""">fit-for-purpose solutions</strong>, with clear visibility of costs and benefits over a five-year horizon.</li><li id="""">Define the <strong id="""">processes, roles, and organizational changes</strong> required for effective change management and a sustainable end-state IT setup.</li></ul>",false,"<p id="""">We worked closely with Heras to design a value-driven IT strategy that would enable their business ambitions. Specifically, we:</p><ul id=""""><li id=""""><strong id="""">Mapped key business capabilities</strong>, defined requirements, and translated them into IT system needs.</li><li id=""""><strong id="""">Assessed the current IT landscape and organization</strong>, identifying pain points and designing an ideal end-state architecture.</li><li id=""""><strong id="""">Developed a comprehensive business case</strong>, estimating the financial benefits and required investments.</li><li id="""">Formulated a <strong id="""">three-year roadmap</strong> with a clear, actionable plan to kickstart the IT transformation.</li></ul>",false,"<p id="""">The collaboration resulted in a <strong id="""">future-proof and cost-effective IT landscape</strong>, underpinned by a value-driven technology strategy. The outcomes included:</p><ul id=""""><li id="""">A clearly defined <strong id="""">end-state IT architecture</strong> aligned with business needs.</li><li id="""">A <strong id="""">three-year transformation roadmap</strong> providing a pragmatic path forward and concrete next steps.</li><li id="""">A <strong id="""">phased business case</strong> that outlined financial impact, benefits realization, and investment requirements, giving Heras the clarity and confidence to proceed with execution.</li></ul>",false,,"The SparkOptimus team demonstrated a pragmatic and structured approach, ensuring disciplined execution while maintaining a strong strategic lens, particularly in assessing the relevance of ERP solutions to the business objectives",Mark Kleeven,CFO,false,,,,,false,https://cdn.prod.website-files.com/64c8db4525075f4f57f9539a/686f8a96eb91eccdecafe7ab_1%20(2).png; https://cdn.prod.website-files.com/64c8db4525075f4f57f9539a/686f8a96b87a30242ca5d66d_2%20(2).png; https://cdn.prod.website-files.com/64c8db4525075f4f57f9539a/686f8a967ed0ca3467866248_3%20(2).png; https://cdn.prod.website-files.com/64c8db4525075f4f57f9539a/686f8a96eb91eccdecafe7d2_4%20(2).png; https://cdn.prod.website-files.com/64c8db4525075f4f57f9539a/686f8a965721d3c404bce45e_5%20(2).png; https://cdn.prod.website-files.com/64c8db4525075f4f57f9539a/686f8a96c3a00dda2c05674c_6%20(2).png; https://cdn.prod.website-files.com/64c8db4525075f4f57f9539a/686f8a96008bc954bbab29e5_7%20(2).png; https://cdn.prod.website-files.com/64c8db4525075f4f57f9539a/686f8a9676026ed82fac83a2_8%20(2).png
Vision 2024,ikea,64c8db55b3337948371453e0,64c8db4525075f4f57f95399,64e27e77bcf173db90e31826,false,false,Sun Aug 20 2023 20:58:31 GMT+0000 (Coordinated Universal Time),Tue Mar 05 2024 14:39:09 GMT+0000 (Coordinated Universal Time),Tue Jan 14 2025 16:00:18 GMT+0000 (Coordinated Universal Time),56,,false,,,,false,,,false,false,,https://uploads-ssl.webflow.com/64c8db4525075f4f57f9539a/65d886ef8f572f181db4edb3_ikea.jpeg,IKEA,https://uploads-ssl.webflow.com/64c8db4525075f4f57f9539a/64e7d8a1e776de1b278d5367_Ikea2.png,false,,ventures-scale-ups,,Retail,"<p id="""">IKEA Netherlands has ambitious growth plans for its omnichannel proposition, aiming to provide the consumer with a seamless experience across every channel. IKEA identified optimizing its current delivery fee structure as a key opportunity to grow sales. Realizing the need for a thorough check of its current proposition, IKEA asked SparkOptimus for support to develop an omnichannel delivery fee structure.</p>",false,"<p id="""">First, we analyzed the current delivery fee structure to identify potential areas for improvement. Secondly, we developed a model to analyze the impact of several delivery fee structures, taking into account consumer expectations, competitors’ prices, and financials. Next, we performed multiple sensitivity analyses and presented a clear recommendation to IKEA Netherlands’ management team.</p>",false,"<p id="""">IKEA Netherlands has an improved level of insight in the current delivery fee structure and a new, clear omnichannel structure in place to move forward with the omnichannel strategy and achieve its growth objectives.</p><p>‍</p><p id=""""><strong id="""">Want to find out how your venture can benefit from our expertise? </strong><a href=""https://www.sparkoptimus.com/contact""><strong id="""">Click here to get in touch with us. </strong></a></p>",false,,"In a short period of time, SparkOptimus did an excellent job in supporting us choosing the right omnichannel delivery fee proposition for our consumers",Kristina Johansson,Country Manager IKEA Netherlands,false,,,,,false,
Accelerating growth through CRM,independer,64c8db55b3337948371453e0,64c8db4525075f4f57f95399,64e2836b83a623370f47c487,false,false,Sun Aug 20 2023 21:19:39 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 16:00:15 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 16:40:23 GMT+0000 (Coordinated Universal Time),19,,false,,,,false,,,false,false,,https://cdn.prod.website-files.com/64c8db4525075f4f57f9539a/6908d18a3b776211e0f4e3bb_oie_2482517ZQrzr9hF-1-1024x638.png,Independer ,https://cdn.prod.website-files.com/64c8db4525075f4f57f9539a/64e7d95303822c93f34c9a9c_independer_logo.png,true,,ventures-scale-ups,,Finance,"<p id="""">Independer is the leading comparison website and online broker for financial products in the Netherlands. Founded in 1999 to improve the financial industry and support consumers in their decision-making process, it now enables consumers to compare prices and T&amp;C on a range of insurance and financial products, including car insurances, health insurances and mortgages. Aiming to further accelerate growth, Independer identified next-level CRM as a key opportunity.</p>",false,"<p id="""">SparkOptimus supported Independer with the design and implementation of a targeted CRM strategy, paying special attention to trigger-based (email) marketing. After a thorough gap analysis, SparkOptimus supported Independer in getting the required systems, organization, tools and processes in place. In a joint effort, the Independer CRM team and SparkOptimus followed a two-fold approach: first, the long-term CRM aspiration was set and a pragmatic implementation plan was crafted. Next, the first email campaigns were launched following a hands-on test &amp; learn approach.</p>",false,"<p id="""">SparkOptimus paved the way for next-level CRM at Independer. Besides kick-starting implementation, SparkOptimus managed to create a buzz of excitement through the entire organization and prepared Independer’s marketeers for truly sophisticated email campaigning.</p><p id="""">‍</p><p id=""""><strong id="""">Want to find out how your venture can benefit from our expertise? </strong><a id="""" href=""https://www.sparkoptimus.com/contact""><strong id="""">Click here to get in touch with us. </strong></a></p>",false,,"SparkOptimus has really amazed me with what they achieved in such a short time. Their strong analytical power, tremendous digital experience and tailored approach really helped us to kick-start the successful set-up of next-level CRM in our organization",Ruud Martens,Managing Director Independer,false,,,,,false,
Designing the omnichannel branch of the future,ing,64c8db55b3337948371453e0,64c8db4525075f4f57f95399,64e27e534151507013e4e9b8,false,false,Sun Aug 20 2023 20:57:55 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 14:45:53 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 15:01:43 GMT+0000 (Coordinated Universal Time),55,,false,,,,false,,,false,false,,https://cdn.prod.website-files.com/64c8db4525075f4f57f9539a/6908c01d30cc9f5dbde70727_357345-ING%20Acanthus-1-4426a3-original-1592897632.jpg,ING,https://cdn.prod.website-files.com/64c8db4525075f4f57f9539a/64e7da2aa46002919c7c4517_ING_logo_logotype_lion.png,false,,digital-strategy-transformation,,Finance,"<p id="""">ING is a global financial institution with a European base serving customers in over 40 countries. With over 8 million customers ING is the largest consumer bank in the Netherlands. Given the rapid change of customer expectations and the focus of the bank on digital, ING wanted to develop a future-proof design of the omnichannel branch.</p>",false,"<p id="""">SparkOptimus supported ING by combining key relevant trends, ING strategy and SparkOptimus expertise and translating this into the role of the future branch within the customer omnichannel journey. In a joint effort with the broader organization the design has been detailed by defining the key value drivers and requirements and by setting ambitions on the requirements of the branch and the capabilities of ING.</p>",false,"<p id="""">SparkOptimus delivered a widely-supported branch design to serve customers in the future in their omnichannel journey. Short, medium and long-term ambitions have been specified with clear requirements and actionable steps.</p><p>‍</p><p id=""""><strong id="""">Want to find out how your business can benefit from our 1-week digital strategy scan? </strong><a href=""https://www.sparkoptimus.com/contact""><strong id="""">Click here to get in touch with us. </strong></a></p>",false,,"SparkOptimus strengthened our strategic plan by challenging with a strong outside in perspective, and added very valuable (basic and) innovative views, which not only resulted in a solid strategic ambition but also in the tactical roadmap for successful implementation",Philippine Risch,Director Branches ING NL,false,,,,,false,
